ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
83,CÔNG TY TNHH THƯƠNG MẠI GAS QUỲNH LAM,ĐL-088CÔNG TY TNHH THƯƠNG MẠI GAS QUỲNH LAM,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 31C1/3D, đường BH14, khu phố Bình Đáng, Phường Bình Hòa",salesbd,Có hiệu lực
84,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,ĐL-089CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 09 Dương Đình Hội, Phường Phước Long B",,Có hiệu lực
85,CÔNG TY TNHH MỘT THÀNH VIÊN THẢO CẦM VIÊN SÀI GÒN ,ĐL-090CÔNG TY TNHH MỘT THÀNH VIÊN THẢO CẦM VIÊN SÀI GÒN ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 1,số 2 Nguyễn Bỉnh Khiêm - Phường Bến Nghé ,,Có hiệu lực
86,CỬA HÀNG BÁN LẺ LPG CHAI GAS NGỌC ÁNH,ĐL-091CỬA HÀNG BÁN LẺ LPG CHAI GAS NGỌC ÁNH,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"12 đường số 65, tổ 11 khu 2 - Phường Phú Tân ",salesbd,Có hiệu lực
87,Cửa Hàng Bán Lẻ LPG Chai Thu Hằng,ĐL-092Cửa Hàng Bán Lẻ LPG Chai Thu Hằng,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,50/24 Kp Bình Phước B - Phường Bình Chuẩn ,,Có hiệu lực
88,CỬA HÀNG BÁN LẺ LPG CHAI GAS TRÚC,ĐL-093CỬA HÀNG BÁN LẺ LPG CHAI GAS TRÚC,Đại lý thứ 2,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ VĂN THANH,Tỉnh Bình Dương,Thị xã Bến Cát,"109, Đường DT 744, ấp An Thành - Xã An Tây",salesbd,Có hiệu lực
89,CỬA HÀNG BÁN LẺ LPG CHAI ĐÔNG THÀNH,ĐL-094 ĐÔNG THÀNH D12 (MP1),Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đường D12 ấp 6, Thới Hòa",salesbd,Có hiệu lực
90,Cửa Hàng Bán Lẻ LPG Chai Minh Huệ,ĐL-095Cửa Hàng Bán Lẻ LPG Chai Minh Huệ,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,1/38 Bình Thuận 2-Thuận Giao - Phường Thuận Giao,salesbd,Có hiệu lực
91,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ THÁI BÌNH DƯƠNG,ĐL-096CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU DẦU KHÍ THÁI BÌNH DƯƠNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,99 ích Thạnh - Phường Trường Thạnh ,,Có hiệu lực
92,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỒNG GIA BẢO,ĐL-097CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỒNG GIA BẢO,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số C2 - 0.24, đường D41, khu phố Vĩnh Phú 2 - Phường Vĩnh Phú ",,Có hiệu lực
93,CÔNG TY TNHH THƯƠNG MẠI DẦU KHÍ SỐ 1 BÌNH DƯƠNG,ĐL-098CÔNG TY TNHH THƯƠNG MẠI DẦU KHÍ SỐ 1 BÌNH DƯƠNG,Đại lý thứ 2,CÔNG TY TNHH LƯƠNG THỰC THỰC PHẨM SỐ 1 BÌNH DƯƠNG,Tỉnh Bình Dương,Thị xã Tân Uyên,"Số 54, tổ 1, khu phố Khánh Hòa - Phường Tân Phước Khánh ",salesbd,Có hiệu lực
94,CỬA HÀNG BÁN LẺ LPG CHAI BẢO NGỌC,ĐL-099CỬA HÀNG BÁN LẺ LPG CHAI BẢO NGỌC,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 67, Đường số 5, Khu phố 2, Phường Cát Lát",,Có hiệu lực
95,Cửa Hàng Kinh Doanh LPG Chai Thúy Hằng,ĐL-100Cửa Hàng Kinh Doanh LPG Chai Thúy Hằng,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,280/41 Bùi Hữu Nghĩa,,Có hiệu lực
96,Cửa Hàng Bán Lẻ LPG Chai Mạnh Cường Phát,ĐL-101Cửa Hàng Bán Lẻ LPG Chai Mạnh Cường Phát,Đại lý thứ 2,Công Ty TNHHH MTV Điện Tử M.C.P,Tỉnh Bình Dương,Thành phố Thuận An,"D4/4B tổ 7,KDC Thuận Giao-KP Bình Thuận 2, Phường Thuận Giao",,Có hiệu lực
97,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TẤN HƯNG,ĐL-102CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TẤN HƯNG,Đại lý tổng,,Tỉnh Bến Tre,Thành phố Bến Tre,"27 Nguyễn Huệ, Phường An Hội ",,Có hiệu lực
98,CỬA HÀNG BÁN LẺ LPG CHAI THẠCH THUÝ,ĐL-103CỬA HÀNG BÁN LẺ LPG CHAI THẠCH THUÝ,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"D9/15A KDC Thuận Giao, Kp bình Thuận 2, Phường Thuận Giao",salesbd,Có hiệu lực
99,CỬA HÀNG BÁN LẺ LPG CHAI PHÙNG THỊ NHÀN,ĐL-104 MINH TÂM (PTN),Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"12 Khu Phố Đông Tư, Thị Trấn Lái Liêu",salesbd,Có hiệu lực
100,Địa Điểm Kinh Doanh10- Công Ty TNHH Đầu Tư Thương Mại Dịch Vụ Năng Lượng Xanh,ĐL-105Địa Điểm Kinh Doanh10- Công Ty TNHH Đầu Tư Thương Mại Dịch Vụ Năng Lượng Xanh,Đại lý tổng,,Tỉnh Bình Phước,Thành phố Đồng Xoài,"210 A Lê Quý Đôn, P.Tân Thiện",,Có hiệu lực
101,HỘ KINH DOANH QUÁN ĂN KIỀU PHONG,ĐL-106HỘ KINH DOANH QUÁN ĂN KIỀU PHONG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"301C Bình Đông, Phường 14",,Có hiệu lực
102,ĐỊA ĐIỂM KINH DOANH 11- CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,ĐL-107ĐỊA ĐIỂM KINH DOANH 11- CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,Đại lý tổng,,Tỉnh Bình Phước,Thị xã Bình Long,"384 Nguyễn Huệ, Phường Phú Thịnh",,Có hiệu lực
103,Cửa Hàng Bán Lẻ LPG Chai Tài Lộc,ĐL-108Cửa Hàng Bán Lẻ LPG Chai Tài Lộc,Đại lý tổng,,Tỉnh Bình Dương,Huyện Dầu Tiếng,"Ấp Gò Mối , Xã Thanh Tuyền ",salesbd,Có hiệu lực
104,SỞ KHOA HỌC VÀ CÔNG NGHỆ TPHCM,ĐL-109SỞ KHOA HỌC VÀ CÔNG NGHỆ TPHCM,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 3,244 Điện Biên Phủ -  Phường 7 ,,Có hiệu lực
105,CỬA HÀNG BÁN LẺ LPG CHAI GAS NGỌC PHÁN,ĐL-120CỬA HÀNG BÁN LẺ LPG CHAI GAS NGỌC PHÁN,Đại lý tổng,,Tỉnh Bình Phước,Huyện Chơn Thành,"Tổ 01, Ấp 07, Xã Minh Hưng",salesbd,Có hiệu lực
106,CÔNG TY TNHH GAS THIÊN PHÚC,ĐL-121CÔNG TY TNHH GAS THIÊN PHÚC,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 12,523 Đường Lê Văn Khương - phường Hiệp Thành ,,Có hiệu lực
107,Cửa Hàng Bán Lẻ LPG Chai Gas Tấn Đạt,ĐL-122Cửa Hàng Bán Lẻ LPG Chai Gas Tấn Đạt,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 311 Đường DDT, Ấp Bến Liễu , Phú An ",salesbd,Có hiệu lực
108,CỬA HÀNG BÁN LẺ LPG CHAI PHƯƠNG ANH (ĐỒNG PHÚ),ĐL-123CỬA HÀNG BÁN LẺ LPG CHAI PHƯƠNG ANH (ĐỒNG PHÚ),Đại lý tổng,,Tỉnh Bình Phước,Huyện Đồng Phú,"Thửa đất số 35, tờ bản đồ 19, KP Tân An, TT Tân Phú, H. Đồng Phú",,Có hiệu lực
109,CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG THƯƠNG MẠI DỊCH VỤ GAS ANH QUÂN,ĐL-124CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG THƯƠNG MẠI DỊCH VỤ GAS ANH QUÂN,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 135, Đường Dĩ An, Khu phố Nhị Đồng 2, Phường Dĩ An",saleshcm,Có hiệu lực
110,CỬA HÀNG BÁN LẺ LPG CHAI KIÊN HOA,ĐL-125CỬA HÀNG BÁN LẺ LPG CHAI KIÊN HOA,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Tổ 2, Ấp 3B, Phường Khánh Bình",,Có hiệu lực
111,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ PHÁT TRIỂN HỒNG HÀ,ĐL-126CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ PHÁT TRIỂN HỒNG HÀ,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 1066, Tờ bản đồ số 52, Khu phố 8 , Phường Uyên Hưng ",,Có hiệu lực
112,CÔNG TY TNHH  MỘT THÀNH VIÊN GỐM SỨ HƯNG THÀNH PHÁT,ĐL-127CÔNG TY TNHH  MỘT THÀNH VIÊN GỐM SỨ HƯNG THÀNH PHÁT,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 166/3A, khu phố Thạnh Hòa B - Phường An Thạnh ",salesbd,Có hiệu lực
113,CÔNG TY TNHH AIR WATER VIỆT NAM,ĐL-129CÔNG TY TNHH AIR WATER VIỆT NAM,Đại lý tổng,,Tỉnh Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,"Khu Công nghiệp Phú Mỹ 1, Phường Phú Mỹ",salesbd,Có hiệu lực
114,Hộ Kinh Doanh Đại Lý Gas - Bếp Gas Bảo Thy Phát,ĐL-130 Hộ Kinh Doanh Đại Lý Gas - Bếp Gas Bảo Thy Phát,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"251/6B , Đường Ngô Chí Quốc, Khu Phố 2, Phường Bình Chiểu",,Có hiệu lực
115,Cửa Hàng Bán Lẻ Nguyễn Thu Hồng,ĐL-131 Cửa Hàng Bán Lẻ Nguyễn Thu Hồng,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"1/1 ấp 2, Xã Tân Quý Tây",,Có hiệu lực
116,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI CHẾ BIẾN THỰC PHẨM VIỆT ANH FOOD,ĐL-132CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI CHẾ BIẾN THỰC PHẨM VIỆT ANH FOOD,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 4,"Số 109/23, Đường Lê Quốc Hưng, - phường 12 ",,Có hiệu lực
117,ĐẠI LÍ GAS PHÚ HƯNG PHÁT,ĐL-133ĐẠI LÍ GAS PHÚ HƯNG PHÁT,Đại lý tổng,,Tỉnh Tiền Giang,Thị xã Gò Công,"Thửa đất số 28306025135, Khu phố 2, Phường 5",,Có hiệu lực
118,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN ĐIỆN TỬ M.C.P- CHI NHÁNH 2,ĐL-134CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN ĐIỆN TỬ M.C.P- CHI NHÁNH 2,Đại lý thứ 2,Công Ty TNHHH MTV Điện Tử M.C.P,Tỉnh Bình Dương,Huyện Bắc Tân Uyên,"Thửa đất số 511, tờ bản đồ số 14, ấp Cổng Xanh, - Xã Tân Bình ",,Có hiệu lực
119,ĐẠI LÝ GAS VÀ BẾP GAS PHONG THÁI,ĐL-135ĐẠI LÝ GAS VÀ BẾP GAS PHONG THÁI,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"255F/2, khu phố 1B, Phường An Phú",salesbd,Có hiệu lực
120,Cửa Hàng Gas An Hồng Ngọc,ĐL-136Cửa Hàng Gas An Hồng Ngọc,Đại lý tổng,,Tỉnh Bình Phước,Huyện Đồng Phú,"Thửa đất số 149, tờ bản đồ 44, Đường ĐT 741, tổ 30, Khu Phố Thắng Lợi, Thị Trấn Tân Phú",salesbd,Có hiệu lực
121,HỘ KINH DOANH PHẠM VĂN MẠNH,ĐL-137HỘ KINH DOANH PHẠM VĂN MẠNH,Đại lý tổng,,Tỉnh Đồng Nai,Thành phố Biên Hòa,"42/36, khu phố 8, phường Hố Nai",,Có hiệu lực
122,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,ĐL-139HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Đại lý tổng,,Tỉnh Bình Phước,Thị xã Bình Long,"Tổ 1, Khu phố Bình An, Phường An Lộc",salesbd,Có hiệu lực
123,HỘ KINH DOANH THÀNH PHÁT,ĐL-140HỘ KINH DOANH THÀNH PHÁT,Đại lý tổng,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 72, tổ 10, Khu phố Đồng Sổ, Thị trấn Lai Uyên",salesbd,Có hiệu lực
124,HỘ KINH DOANH PHƯỚC DŨNG,ĐL-141HỘ KINH DOANH PHƯỚC DŨNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"Số 7, Bến Phú Định, phường 16",,Có hiệu lực
125,CỬA HÀNG GAS TÂM KHÁNH BÌNH,ĐL-142CỬA HÀNG GAS TÂM KHÁNH BÌNH,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 777, tờ bản đồ số 39, Khu phố Khánh Lộc, Phường Khánh Bình",,Có hiệu lực
126,HỘ KINH DOANH VẠN TAM,ĐL-143HỘ KINH DOANH VẠN TAM,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"44D, Khu phố Hòa Long, phường Lái Thiêu",,Có hiệu lực
127,HỘ KINH DOANH GAS LONG HẢI,ĐL-144HỘ KINH DOANH GAS LONG HẢI,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"C18S tổ 19, khu phố Bình Phước, Phường Bình Nhâm",,Có hiệu lực
128,Công ty TNHH TM DV Vận Tải XNK Thanh Trúc,ĐL-145Công ty TNHH TM DV Vận Tải XNK Thanh Trúc,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,"C4/18KQ9,Đường C4,Xã Bình Hưng",,Có hiệu lực
129,CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG BAVARIA,ĐL-146CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG BAVARIA,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"350 Đỗ Xuân Hợp, Phường Phước Long A",,Có hiệu lực
130,CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG LÀNG MẸT,ĐL-146CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG LÀNG MẸT,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"351 Đỗ Xuân Hợp, Phường Phước Long A",,Có hiệu lực
131,CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG MIDWAY PUB,ĐL-146CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG MIDWAY PUB,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"352 Đỗ Xuân Hợp, Phường Phước Long A",,Có hiệu lực
132,CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG NHÀ THÁI 2,ĐL-146CHI NHÁNH CÔNG TY CỔ PHẦN NIBA - NHÀ HÀNG NHÀ THÁI 2,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"353 Đỗ Xuân Hợp, Phường Phước Long A",,Có hiệu lực
133,HỘ KINH DOANH CỬA HÀNG LPG CƯỜNG THỊNH,ĐL-147HỘ KINH DOANH CỬA HÀNG LPG CƯỜNG THỊNH,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"488 Bùi Minh Trực, Phường 6",,Có hiệu lực
134,HỘ KINH DOANH TÁM MƯƠI MỐT,ĐL-148HỘ KINH DOANH TÁM MƯƠI MỐT,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"81 Thích Quảng Đức, Phường 04",,Có hiệu lực
135,HỘ KINH DOANH THÔNG LAN,ĐL-149HỘ KINH DOANH THÔNG LAN,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 26, đường Nguyễn Trung Nguyệt, Khu phố 5, phường Bình Trưng Đông",,Có hiệu lực
136,CỬA HÀNG GAS PHƯỚC HƯNG,ĐL-151CỬA HÀNG GAS PHƯỚC HƯNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"39/6 Bình Quới A, Phường Bình Chuẩn",salesbd,Có hiệu lực
137,GAS BẢO LONG,ĐL-152GAS BẢO LONG,Đại lý tổng,,Tỉnh Bình Dương,Huyện Dầu Tiếng,"Tổ 6, Kiến An, Xã An Lập",,Có hiệu lực
138,HỘ KINH DOANH PHÁT TÀI,ĐL-153HỘ KINH DOANH PHÁT TÀI,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 34A, Đường Nguyễn Tư Nghiêm, Phường Bình Trưng Tây",,Có hiệu lực
139,CỬA HÀNG LPG KHẢI HOÀN,ĐL-155CỬA HÀNG LPG KHẢI HOÀN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"1436D Phạm Thế Hiển, Phường 5",,Có hiệu lực
140,HỘ KINH DOANH GAS XUÂN TÍN,ĐL-156HỘ KINH DOANH GAS XUÂN TÍN,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"8A, Đường 12, Phường Long Thạnh Mỹ",,Có hiệu lực
141,CÔNG TY TNHH CẦU TRỤC THANG MÁY QUẢNG LIÊN,ĐL-157CÔNG TY TNHH CẦU TRỤC THANG MÁY QUẢNG LIÊN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 11,"Số 299/15A, Đường Lý Thường Kiệt, Phường 15",salesbd,Có hiệu lực
142,HỘ KINH DOANH CỬA HÀNG GAS ĐẠI DƯƠNG,ĐL-158HỘ KINH DOANH CỬA HÀNG GAS ĐẠI DƯƠNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"8A/16B Chánh Hưng, Phường 4",,Có hiệu lực
143,CÔNG TY TNHH LPG MINH TUẤN,ĐL-159 CÔNG TY TNHH LPG MINH TUẤN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"574/55 SinCo, Phường Bình Trị Đông B ",,Có hiệu lực
144,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI - DỊCH VỤ THANH TIN,ĐL-162DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI - DỊCH VỤ THANH TIN,Đại lý tổng,,Tỉnh Đắk Lắk,Thị xã Buôn Hồ,"Số 42 Nguyễn Văn Trỗi, Phường An Lạc",,Có hiệu lực
145,HỘ KINH DOANH GAS BÌNH MINH N2,ĐL-163HỘ KINH DOANH GAS BÌNH MINH N2,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đất thuê của ông Phạm Duy ; Đường N2 , Khu phố 06 , Phường Thới Hòa ",salesbd,Có hiệu lực
146,CỬA HÀNG LPG NHƯ Ý,ĐL-164CỬA HÀNG LPG NHƯ Ý,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức," 849A – 851, Nguyễn Duy Trinh , P.Phú Hữu",,Có hiệu lực
147,CÔNG TY TNHH NIPRO VIỆT NAM,ĐL-165CÔNG TY TNHH NIPRO VIỆT NAM,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Lô I-8-3, Đường D8, Phường Long Thạnh Mỹ",,Có hiệu lực
148,ĐẠI LÝ GAS HOÀNG ANH,ĐL-166ĐẠI LÝ GAS HOÀNG ANH,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"543 Đường Phú Lợi, Tổ 1 , Khu Phố 9, Phường Phú Lợi ",salesbd,Có hiệu lực
149,HỘ KINH DOANH PHÚ HƯNG 2,ĐL-167HỘ KINH DOANH PHÚ HƯNG 2,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,"937D/1 Tạ Quang Bửu, Phường 5",saleshcm,Có hiệu lực
150,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ VẬN TẢI MAI ĐÌNH,ĐL-168CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ VẬN TẢI MAI ĐÌNH,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Phương Anh,Tỉnh Bình Phước,Huyện Chơn Thành,"Tổ 1, Khu phố 3, Phường Hưng Long",salesbd,Có hiệu lực
151,CỬA HÀNG GAS QUANG THIỆU,ĐL-169CỬA HÀNG GAS QUANG THIỆU,Đại lý tổng,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Thuê nhà của ông Nguyễn Văn Long, Ấp 4, xã Tân Hưng",salesbd,Có hiệu lực
152,BÙI THỊ MỘNG NGHI (PHÁT VINH 179),ĐL-170BÙI THỊ MỘNG NGHI (PHÁT VINH 179),Đại lý tổng,,Tỉnh Long An,Huyện Cần Giuộc,"Thửa đất số 1068, tờ bản đồ số 6 , đường Nguyễn An Ninh, khu phố Hòa Thuận 1",,Có hiệu lực
153,CÔNG TY TNHH DỆT NHUỘM QUỐC TẾ RADIANT,ĐL-171CÔNG TY TNHH DỆT NHUỘM QUỐC TẾ RADIANT,Đại lý thứ 2,CỬA HÀNG BÁN LẺ LPG CHAI GAS NGỌC PHÁN,Tỉnh Bình Phước,Huyện Chơn Thành,"Lô K1 & K2, KCN Minh Hưng- Hàn Quốc, Phường Minh Hưng",salesbd,Có hiệu lực
154,CỬA HÀNG GAS MỸ PHƯỚC,ĐL-172CỬA HÀNG GAS MỸ PHƯỚC,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Thửa Đất số 3555, tờ bản đồ số 58, đường NB6, khu phố 3, phường Mỹ Phước",,Có hiệu lực
155,Hộ Kinh Doanh NGUYỄN HOÀNG NGUYÊN,ĐL-173Hộ Kinh Doanh NGUYỄN HOÀNG NGUYÊN,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Ô 23 lô K4 , đường NK1, khu phố 3A , phường Thới Hòa",salesbd,Có hiệu lực
156,Hộ kinh doanh Lê Văn Hoan,ĐL-174Hộ kinh doanh Lê Văn Hoan,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"55 Đường D7, Tổ 1 Khu 1, Phường Phú Tân",salesbd,Có hiệu lực
157,CÔNG TY TNHH MỘT THÀNH VIÊN GAS NHẬT MAI,ĐL-175CÔNG TY TNHH MỘT THÀNH VIÊN GAS NHẬT MAI,Đại lý thứ 2,CỬA HÀNG BÁN LẺ LPG CHAI MẠNH ĐẠT,Tỉnh Bình Dương,Thành phố Thuận An,"Thửa đất số 533, tờ bản đồ số 967, KDC Việt Sing, Phường An Phú ",salesbd,Có hiệu lực
158,CÔNG TY TNHH MỘT THÀNH VIÊN NĂNG LƯỢNG XANH TG,ĐL-176CÔNG TY TNHH MỘT THÀNH VIÊN NĂNG LƯỢNG XANH TG,Đại lý tổng,,Tỉnh Tiền Giang,Huyện Châu Thành,"ấp Vĩnh Bình, Xã Vĩnh Kim",,Có hiệu lực
159,CÔNG TY TNHH MTV TM PHÚC GIA KHANG,ĐL-177CÔNG TY TNHH MTV TM PHÚC GIA KHANG,Đại lý tổng,,Tỉnh Trà Vinh,Huyện Châu Thành,"ấp Trì Phong, Xã Hòa Lợi",,Có hiệu lực
160,CỬA HÀNG LPG CHAI THANH BÌNH 2,ĐL-178CỬA HÀNG LPG CHAI THANH BÌNH 2,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Kiot số 1, 2/2B  khu phố Đồng An 1, Phường Bình Hòa",salesbd,Có hiệu lực
161,CÔNG TY TNHH VẬN TẢI NHƯ QUANG VINH,ĐL-179CÔNG TY TNHH VẬN TẢI NHƯ QUANG VINH,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"131 Lê Thị Hoa, Khu Phố 3, Phường Bình Chiểu",,Có hiệu lực
