ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
240,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ NGŨ KIM HUY GIA,ĐL-258CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ NGŨ KIM HUY GIA,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 444, Tờ bản đồ số 42, Tổ 6, Khu phố 5, Phường Uyên Hưng",salesbd,Có hiệu lực
241,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,ĐL-259CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"Số 415 Nguyễn Kiệm, Phường 09",saleshcm,Có hiệu lực
242,CÔNG TY TNHH MỘT THÀNH VIÊN THẢO ANH THY,ĐL-260CÔNG TY TNHH MỘT THÀNH VIÊN THẢO ANH THY,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Thành phố Hồ Chí Minh,Quận Bình Tân,"92/14 Lê Tấn Bê, Khu Phố 2, Phường An Lạc",saleshcm,Có hiệu lực
243,HỘ KINH DOANH CỬA HÀNG LPG VIP HÙNG KHUÊ,ĐL-261HỘ KINH DOANH CỬA HÀNG LPG VIP HÙNG KHUÊ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"29/36 Đoàn Thị Điểm, Phường 1",saleshcm,Có hiệu lực
244,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHÚ MINH HƯNG,ĐL-262CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ PHÚ MINH HƯNG,Đại lý thứ 2,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 30, tổ 2, ấp Đồng Sổ, Thị trấn Lai Uyên",salesbd,Có hiệu lực
245,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ MẠNH HOÀNG PHÁT,ĐL-263CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ MẠNH HOÀNG PHÁT,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 848, tờ bản đồ số 7, tổ 9, khu phố Tân Hóa, Phường Tân Vĩnh Hiệp",salesbd,Có hiệu lực
246,ĐẠI LÝ HƯNG THỊNH 1,ĐL-264ĐẠI LÝ HƯNG THỊNH 1,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thị xã Tân Uyên,Thửa đất số 568 – Tờ bản đồ số 37 – Tổ 1 – KP. Tân Phú – P. Tân Hiệp,salesbd,Có hiệu lực
247,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẠI LIÊN CƯỜNG,ĐL-265CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẠI LIÊN CƯỜNG,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất 297, Tờ bản đồ 20, ấp Hóa Nhựt, Phường Tân Vĩnh Hiệp",salesbd,Có hiệu lực
248,HỘ KINH DOANH ĐỨC THẮNG DỤNG,ĐL-266HỘ KINH DOANH ĐỨC THẮNG DỤNG,Đại lý tổng,,Tỉnh Đồng Nai,Thành phố Biên Hòa,"136, Nguyễn Văn Tiên, Kp11, Phường Tân Phong",salesbd,Có hiệu lực
249,HỘ KINH DOANH HÙNG - TIÊN,ĐL-267HỘ KINH DOANH HÙNG - TIÊN,Đại lý tổng,,Tỉnh Bình Phước,Thị xã Phước Long,"Khu phố Long Điền 1, phường Long Phước",salesbd,Có hiệu lực
250,CÔNG TY TNHH THƯƠNG MẠI TRUNG NGUYÊN ANH,ĐL-268CÔNG TY TNHH THƯƠNG MẠI TRUNG NGUYÊN ANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 12,"113/11/49/6B Đường TCH 33, Khu phố 7, phường Tân Chánh Hiệp",,Có hiệu lực
251,TRƯỜNG MẦM NON TÂN KHAI B,ĐL-269TRƯỜNG MẦM NON TÂN KHAI B,Đại lý thứ 2,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Tỉnh Bình Phước,Huyện Hớn Quản,"QL 13, tổ 1, ấp 1, Xã Tân Khai",salesbd,Có hiệu lực
252,TRƯỜNG MẪU GIÁO THANH AN,ĐL-270TRƯỜNG MẪU GIÁO THANH AN,Đại lý thứ 2,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Tỉnh Bình Phước,Huyện Hớn Quản,"Xã Thanh An, Xã Thanh An",salesbd,Có hiệu lực
253,TRƯỜNG MẦM NON TÂN KHAI,ĐL-271TRƯỜNG MẦM NON TÂN KHAI,Đại lý thứ 2,HỘ KINH DOANH - ĐẠI LÝ GA MINH CHÂU,Tỉnh Bình Phước,Huyện Hớn Quản,"ấp 2, Xã Tân Khai, Thị trấn Tân Khai",salesbd,Có hiệu lực
254,HỘ KINH DOANH GAS HOÀNG TÙNG,ĐL-272HỘ KINH DOANH GAS HOÀNG TÙNG,Đại lý tổng,,Tỉnh Đồng Nai,Huyện Vĩnh Cửu,"Tổ 18, ấp ông Hường, Xã Thiện Tân",salesbd,Có hiệu lực
255,HỘ KINH DOANH THẢO LOAN,ĐL-273HỘ KINH DOANH THẢO LOAN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 12,"179/9 Tổ 43, Khu phố 4, phường Trung Mỹ Tây",saleshcm,Có hiệu lực
256,HỘ KINH DOANH HOÀNG GIA QUÁN,ĐL-274HỘ KINH DOANH HOÀNG GIA QUÁN,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Tài Lộc,Tỉnh Bình Dương,Thị xã Bến Cát,"Đất thuê của ông Lý Ngọc; ấp Kiến Điền, Xã An Điền",salesbd,Có hiệu lực
257,DOANH NGHIỆP TƯ NHÂN GAS HÙNG VUI,ĐL-275DOANH NGHIỆP TƯ NHÂN GAS HÙNG VUI,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 937, tờ bản đồ số 4, đường số 27 D2B, tổ 3, khu phố 1, Phường Vĩnh Tân",salesbd,Có hiệu lực
258,CÔNG TY TNHH MỘT THÀNH VIÊN SƠN AN LẬP,ĐL-276CÔNG TY TNHH MỘT THÀNH VIÊN SƠN AN LẬP,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 24, Đường DB3, Khu phố 2, Phường Mỹ Phước",saleshcm,Có hiệu lực
259,HỘ KINH DOANH ĐẠI LÝ KHÍ LPG 826,ĐL-277HỘ KINH DOANH ĐẠI LÝ KHÍ LPG 826,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,"238 Bình Quới, Phường 28",saleshcm,Có hiệu lực
260,HỘ KINH DOANH THIÊN TẠO - LAI THẢO,ĐL-278HỘ KINH DOANH THIÊN TẠO - LAI THẢO,Đại lý thứ 2,Hộ Kinh Doanh Quốc Tiến,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 156, đường ĐT744, ấp Dòng Sỏi, xã An Tây",salesbd,Có hiệu lực
261,CỬA HÀNG GAS - BẾP GAS NGUYỄN BÌNH,ĐL-279CỬA HÀNG GAS - BẾP GAS NGUYỄN BÌNH,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 247 ấp Kiến An, xã An Điền",salesbd,Có hiệu lực
262,ĐẠI LÝ GAS THUẬN AN,ĐL-366 THUẬN AN,Đại lý thứ 2,HỘ KINH DOANH NGUYỄN TRỌNG THÀNH,Tỉnh Bình Dương,Thành phố Thuận An,"1/DC77/Ô75,KDC Việt Sing, khu phố Hòa Lân 2, Phường Thuận Giao",salesbd,Có hiệu lực
263,CÔNG TY TNHH CÔNG NGHIỆP NHỰA TAI JAAN (VIỆT NAM),ĐL-281CÔNG TY TNHH CÔNG NGHIỆP NHỰA TAI JAAN (VIỆT NAM),Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô M-1a-CN, đường D9, khu công nghiệp Mỹ Phước, Phường Thới Hòa",salesbd,Có hiệu lực
264,CÔNG TY TNHH NHÀ HÀNG SHE JIAN WEI DAO,ĐL-282CÔNG TY TNHH NHÀ HÀNG SHE JIAN WEI DAO,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 6, Lô N, Đường DA 1-2, KCN Mỹ Phước 2, Phường Mỹ Phước",salesbd,Có hiệu lực
265,CÔNG TY TNHH MỘT THÀNH VIÊN DƯƠNG CÁT THÀNH,ĐL-283CÔNG TY TNHH MỘT THÀNH VIÊN DƯƠNG CÁT THÀNH,Đại lý thứ 2,Hộ Kinh Doanh Quốc Tiến,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 300, ấp Bến Tượng, Xã Lai Hưng",salesbd,Có hiệu lực
266,CÔNG TY TNHH SX & TM SƠN HẢI THỊNH,ĐL-284CÔNG TY TNHH SX & TM SƠN HẢI THỊNH,Đại lý thứ 2,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Thửa đất số 266, Tờ bản đồ số 16, khu phố Tân Ba, PhườngThái Hòa",salesbd,Có hiệu lực
267,CÔNG TY TNHH ITM,ĐL-285CÔNG TY TNHH ITM,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô B-6B1-CN, khu công nghiệp Mỹ Phước 3, Phường Mỹ Phước",salesbd,Có hiệu lực
268,CÔNG TY TNHH SÔNG HỒNG TÂN,ĐL-286CÔNG TY TNHH SÔNG HỒNG TÂN,Đại lý thứ 2,HỘ KINH DOANH NGUYỄN TRỌNG THÀNH,Tỉnh Đồng Nai,Thành phố Biên Hòa,"Số 753, Đường Xa Lộ Hà Nội, Khu Phố 3, Phường Long Bình",salesbd,Có hiệu lực
269,HỘ KINH DOANH HỒNG PHÁT,ĐL-287HỘ KINH DOANH HỒNG PHÁT,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Củ Chi,"Số 10A, đường Giáp Hải, tổ 7, khu phố 8, thị trấn Củ Chi",saleshcm,Có hiệu lực
270,HỘ KINH DOANH ĐẠI THÀNH PHÁT,ĐL-288HỘ KINH DOANH ĐẠI THÀNH PHÁT,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 4,"I5 Khu Tái Thiết Khánh Hội, phường 06",saleshcm,Có hiệu lực
271,ĐẠI LÝ GAS NGỌC MINH,ĐL-289ĐẠI LÝ GAS NGỌC MINH,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Đường DB5, Khu phố 3, Phường Mỹ Phước",salesbd,Có hiệu lực
272,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC AXIANG,ĐL-290CÔNG TY TNHH NHÀ HÀNG ẨM THỰC AXIANG,Đại lý thứ 2,GAS THỊNH PHÁT THỚI HÒA,Tỉnh Bình Dương,Thị xã Bến Cát,"Thửa đất số 6576, tờ bản đồ số 63, đường XC1, khu phố 3, Phường Mỹ Phước",salesbd,Có hiệu lực
273,HỘ KINH DOANH GAS XUÂN DƯƠNG,ĐL-291HỘ KINH DOANH GAS XUÂN DƯƠNG,Đại lý thứ 2,CỬA HÀNG BÁN LẺ LPG CHAI MẠNH ĐẠT,Tỉnh Bình Dương,Thị xã Tân Uyên,Thửa đất số 913 - tờ bản đồ số 33 - tổ 6 - KP. Long Bình - P. Khánh Bình,salesbd,Có hiệu lực
274,Đại Lý Gas Hải Phương (HUỲNH QUỐC ĐẠT),ĐL-292Đại Lý Gas Hải Phương (HUỲNH QUỐC ĐẠT),Đại lý thứ 2,Hộ Kinh Doanh  LPG Chai Hải Phương,Thành phố Hồ Chí Minh,Quận 7,"431 Lê Văn Lương, Phường Tân Phong, Quận 7",,Có hiệu lực
275,HỘ KINH DOANH HOÀNG VŨ,ĐL-293HỘ KINH DOANH HOÀNG VŨ,Đại lý tổng,,Tỉnh Bình Dương,Huyện Bàu Bàng,"Số 364 QL 13, Ấp Xà Mách, Thị trấn Lai Uyên",salesbd,Có hiệu lực
276,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ ĂN UỐNG LỘC PHÁT,ĐL-294CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ ĂN UỐNG LỘC PHÁT,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Phương Anh,Tỉnh Bình Phước,Huyện Hớn Quản,"ấp 1, Xã Đồng Nơ",salesbd,Có hiệu lực
277,CÔNG TY CP THƯƠNG MẠI XÂY DỰNG VẬN TẢI DẦU KHÍ MIỀN ĐÔNG,ĐL-295CÔNG TY CP THƯƠNG MẠI XÂY DỰNG VẬN TẢI DẦU KHÍ MIỀN ĐÔNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 88A/1/12A Đường ĐT743B, Kp Đồng An 3, Phường Bình Hòa",,Có hiệu lực
278,CÔNG TY TNHH CƠM ĐÀO,ĐL-296CÔNG TY TNHH CƠM ĐÀO,Đại lý thứ 2,HỘ KINH DOANH THÀNH PHÁT,Tỉnh Bình Dương,Huyện Bàu Bàng,"Thửa đất số 1891, Tờ bản đồ số 56, Đường D2, Tổ 6, Khu phố Đồng Sổ, Thị trấn Lai Uyên",salesbd,Có hiệu lực
279,CÔNG TY TNHH TURBO VINA,ĐL-297CÔNG TY TNHH TURBO VINA,Đại lý thứ 2,Công ty TNHH Một Thành Viên Gas Mỹ Phước,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô B_3A6_CN, Đường NE5A, Khu công nghiệp Mỹ Phước 3, Phường Thới Hòa",salesbd,Có hiệu lực
280,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUÁN ĐỈNH,ĐL-298CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUÁN ĐỈNH,Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Số 46 đường NC1, khu phố 3, Phường Mỹ Phước",salesbd,Có hiệu lực
281,CÔNG TY TNHH KINH DOANH TỔNG HỢP VIỆT THUẬN,ĐL-299CÔNG TY TNHH KINH DOANH TỔNG HỢP VIỆT THUẬN,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Bến Cát,"Thửa đất số 3839, Tờ bản đồ số 20, Đường DE1, Khu phố 4, Phường Thới Hòa",salesbd,Có hiệu lực
282,HỘ KINH DOANH KIM KIM PHƯỢNG,ĐL-300HỘ KINH DOANH KIM KIM PHƯỢNG,Đại lý thứ 2,Công ty TNHH Một Thành Viên Gas Mỹ Phước,Tỉnh Tây Ninh,Thành phố Tây Ninh,"Số 150 Ấp Thạnh Hiệp, xã Thạnh Tân",salesbd,Có hiệu lực
283,CƠ SỞ VŨ TUẤN,ĐL-301CƠ SỞ VŨ TUẤN,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Huyện Tân Biên,"Ấp Suối Mây, xã Thạnh Bắc",salesbd,Có hiệu lực
284,CÔNG TY TNHH NHÀ HÀNG MỸ GIA MỸ,ĐL-302CÔNG TY TNHH NHÀ HÀNG MỸ GIA MỸ,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT HƯNG,Thành phố Hồ Chí Minh,Quận 1,"82 Ter Võ Thị Sáu, Phường Tân Định, Quận 1",saleshcm,Có hiệu lực
285,HỘ KINH DOANH HÂN HƯƠNG,ĐL-303HỘ KINH DOANH HÂN HƯƠNG,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Huyện Tân Biên,"Số 1051, ấp Thạnh Tây, xã Thạnh Tây",salesbd,Có hiệu lực
286,HỘ KINH DOANH KIM HOÀNG,ĐL-304HỘ KINH DOANH KIM HOÀNG,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Huyện Châu Thành,"Tổ 19, ấp Long Châu, Xã Long Vĩnh",salesbd,Có hiệu lực
287,ĐẠI LÝ GAS LPG NHÂN PHÁT TÀI,ĐL-305ĐẠI LÝ GAS LPG NHÂN PHÁT TÀI,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Thị xã Hòa Thành,"Số 1A, tổ 1, đường số 23, đường Sân Cu, khu phố Sân Cu, phường Long Thành Bắc",salesbd,Có hiệu lực
288,CÔNG TY TNHH CHÁO MẸ NẤU,ĐL-306CÔNG TY TNHH CHÁO MẸ NẤU,Đại lý thứ 2,GAS KHÁNH VÂN,Thành phố Hồ Chí Minh,Quận 7,509A Huỳnh Tấn Phát - Phường Tân Thuận Đông ,saleshcm,Có hiệu lực
289,CÔNG TY TNHH SEN VEGAN HOUSE,ĐL-307CÔNG TY TNHH SEN VEGAN HOUSE,Đại lý thứ 2,HỘ KINH DOANH ĐẠI THÀNH PHÁT,Thành phố Hồ Chí Minh,Quận 1,"93-95 Phó Đức Chính, Phường Nguyễn Thái Bình",saleshcm,Có hiệu lực
290,HỘ KINH DOANH LẸ,ĐL-308HỘ KINH DOANH LẸ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 7,"6/3A, Lê Văn Lương, Phường Tân Phong",saleshcm,Có hiệu lực
291,CÔNG TY TNHH UM JI GAM JA THANG,ĐL-309CÔNG TY TNHH UM JI GAM JA THANG,Đại lý thứ 2,GAS KHÁNH VÂN,Thành phố Hồ Chí Minh,Quận 7,"R4 - 40 Nội Khu Hưng Phước 4, Phường Tân Phong",saleshcm,Có hiệu lực
292,CỬA HÀNG LPG LẸ,ĐL-310CỬA HÀNG LPG LẸ,Đại lý thứ 2,HỘ KINH DOANH LẸ,Tỉnh Long An,Huyện Cần Giuộc,"143, đường ĐT 826C, Ấp 1, xã Phước Vĩnh Tây",saleshcm,Có hiệu lực
293,CÔNG TY TNHH ĐUNG GI CHICKEN B.B.Q,ĐL-311CÔNG TY TNHH ĐUNG GI CHICKEN B.B.Q,Đại lý thứ 2,GAS KHÁNH VÂN,Thành phố Hồ Chí Minh,Quận 7,"R3-60 Hưng Phước 3, Phú Mỹ Hưng, Phường Tân Phong",saleshcm,Có hiệu lực
298,Công ty TNHH MTV Dầu Khí Đông Sài Gòn,TĐL-001Công ty TNHH MTV Dầu Khí Đông Sài Gòn,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"36 - 38 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ",,Có hiệu lực
299,Công ty TNHH Dầu khí Long Thuận,TĐL-002Công ty TNHH Dầu khí Long Thuận,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"408/3 Nguyễn Xiển, Phường Long Thạnh Mỹ",,Có hiệu lực
300,CÔNG TY TNHH MỘT THÀNH VIÊN HÙNG HÀO PHÁT,TĐL-003CÔNG TY TNHH MỘT THÀNH VIÊN HÙNG HÀO PHÁT,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Thửa đất số 1091, tờ bản đồ số E5.1, Khu phố Tân Thắng, Phường Tân Bình",,Có hiệu lực
301,Công ty TNHH MTV Dầu Khí An Tâm,TĐL-004Công ty TNHH MTV Dầu Khí An Tâm,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"212 Liên Khu 4-5, Khu phố 4, phường Bình Hưng Hòa",saleshcm,Có hiệu lực
302,CÔNG TY TNHH KHÁNH KIM HẢI,TĐL-005CÔNG TY TNHH KHÁNH KIM HẢI,Đại lý tổng,,Tỉnh Đồng Nai,Thành phố Long Khánh,"Số A101, KP1, Phường Xuân Bình ",salesbd,Có hiệu lực
303,CÔNG TY TNHH DẦU KHÍ CHÍNH SỸ,TĐL-006CÔNG TY TNHH DẦU KHÍ CHÍNH SỸ,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Số 496 Tổ 3, Khu phố 3, Phường Hội Nghĩa",,Có hiệu lực
304,Công ty TNHH TM Khai Cờ,TĐL-008Công ty TNHH TM Khai Cờ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 5,"85 An Bình, phường 6",,Có hiệu lực
305,CÔNG TY TNHH MỘT THÀNH VIÊN LPG THANH TRÚC,TĐL-009CÔNG TY TNHH MỘT THÀNH VIÊN LPG THANH TRÚC,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"61/1G/1D Đường Gò Cát, Phường Phú Hữu",,Có hiệu lực
306,Công Ty TNHH MTV Gas Cầu Ván,TĐL-010Công Ty TNHH MTV Gas Cầu Ván,Đại lý tổng,,Tỉnh Long An,Huyện Bến Lức,"188A, Ấp 2, Xã Thạnh Đức",,Có hiệu lực
307,Công Ty TNHH Gas Quang Khoa,TĐL-011Công Ty TNHH Gas Quang Khoa,Đại lý tổng,,Tỉnh Long An,Huyện Bến Lức,"Quốc Lộ 1, Ấp 2, Xã Thạnh Đức",,Có hiệu lực
308,CÔNG TY TNHH MỘT THÀNH VIÊN GAS ÁNH NGỌC,TĐL-138CÔNG TY TNHH MỘT THÀNH VIÊN GAS ÁNH NGỌC,Đại lý tổng,,Tỉnh Long An,Huyện Bến Lức,"127, ấp Voi Lá - Xã Long Hiệp",,Có hiệu lực
309,CÔNG TY TNHH MỘT THÀNH VIÊN DẦU KHÍ HOÀNG AN,TĐL-148CÔNG TY TNHH MỘT THÀNH VIÊN DẦU KHÍ HOÀNG AN,Đại lý tổng,,Tỉnh Bình Dương,Thị xã Tân Uyên,"Số 496, Tổ 3, Khu Phố 3, Phường Hội Nghĩa",,Có hiệu lực
310,CÔNG TY TNHH MTV KINH DOANH KHÍ HÓA LỎNG HOÀNG LONG,TĐL-150CÔNG TY TNHH MTV KINH DOANH KHÍ HÓA LỎNG HOÀNG LONG,Đại lý tổng,,Tỉnh Long An,Huyện Tân Trụ,"Số 177, Ấp 4, Xã Tân Bình",saleshcm,Có hiệu lực
311,HOÀNG ĐỨC HUỲNH (ĐẠI LÝ GAS ĐỨC MINH),TĐL-154HOÀNG ĐỨC HUỲNH (ĐẠI LÝ GAS ĐỨC MINH),Đại lý tổng,,Tỉnh Long An,Huyện Cần Giuộc,"870 Đường Tỉnh 835A, Ấp Lộc Tiền, Xã Mỹ Lộc",,Có hiệu lực
312,CÔNG TY TNHH KINH DOANH KHÍ THIÊN HÒA PHÁT,TĐL-160CÔNG TY TNHH KINH DOANH KHÍ THIÊN HÒA PHÁT,Đại lý tổng,,Thành phố Cần Thơ,Quận Bình Thuỷ,"26C Tổ 1, KV Bình Chánh, Phường Long Hòa",,Có hiệu lực
313,CÔNG TY TNHH GAS THU NGỌC,TĐL-161CÔNG TY TNHH GAS THU NGỌC,Đại lý tổng,,Tỉnh Vĩnh Long,Thành phố Vĩnh Long,"Số 101A, đường 14 tháng 9, Phường 5",saleshcm,Có hiệu lực
314,CÔNG TY CỔ PHẦN GIÁO DỤC LIÊN MINH BÁCH KHOA,ĐL-312CÔNG TY CỔ PHẦN GIÁO DỤC LIÊN MINH BÁCH KHOA,Đại lý thứ 2,GAS KHÁNH VÂN,Thành phố Hồ Chí Minh,Quận 11,"299/3A Lý Thường Kiệt, Phường 15",saleshcm,Có hiệu lực
315,ĐẠI LÝ GAS MINH ANH,ĐL-313ĐẠI LÝ GAS MINH ANH,Đại lý thứ 2,CÔNG TY TNHH THƯƠNG MẠI KHÍ HÓA LỎNG HƯỚNG DƯƠNG,Tỉnh Tây Ninh,Thị xã Trảng Bàng,"Ấp An Lợi, xã An Hòa",salesbd,Có hiệu lực
316,CÔNG TY TNHH NEW STAR GOLF (VIỆT NAM),ĐL-314CÔNG TY TNHH NEW STAR GOLF (VIỆT NAM),Đại lý thứ 2,Cửa Hàng Bán Lẻ LPG Chai Đông Thành MP,Tỉnh Bình Dương,Thị xã Bến Cát,"Lô F-9C-CN, khu công nghiệp Mỹ Phước 2, Phường Mỹ Phước",salesbd,Có hiệu lực
317,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH HÀNG HẢI MEKONG,ĐL-315CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH HÀNG HẢI MEKONG,Đại lý thứ 2,GAS KHÁNH VÂN,Thành phố Hồ Chí Minh,Quận 7,"29/10 Đường số 1, Khu phố 3, Phường Bình Thuận",saleshcm,Có hiệu lực
318,HỘ KINH DOANH THÁI BÌNH,ĐL-316HỘ KINH DOANH THÁI BÌNH,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thị xã Tân Uyên,Thửa đất số 366 - Tờ bản đồ số 31- Tổ 6 - KP 5 - P. Vĩnh Tân,salesbd,Có hiệu lực
319,HỘ KINH DOANH KHÔI PHÁT GAS,ĐL-317HỘ KINH DOANH KHÔI PHÁT GAS,Đại lý thứ 2,CỬA HÀNG GAS PHƯỚC HƯNG,Tỉnh Bình Dương,Thành phố Thuận An,"85/4 đường Thạnh Quý, Khu phố Thạnh Quý, Phường An Thạnh",salesbd,Có hiệu lực
